study_title,value_MONDO,value_BTO,value_UBERON,value_MEDDRA,value_DRON
transcriptional profile of human ipsc and hios with apc mutations,null,null,professional antigen presenting cell,human,null
talens-mediated gene disruption of flt3 in leukemia cells: using genome-editing approach for exploring the molecular basis of gene abnormality,childhood leukemia,null,null,leukemia,null
single cell rna-seq reveals expansion of igrp-reactive cd4+ t cells in recent onset type i diabetes (single-cell rna-seq of cd8+ influenza-reactive t cells),type 1 diabetes mellitus,null,cell,cell,rna
homo sapiens transcriptome or gene expression,null,null,homo sapiens,null,null
transcriptional regulation in pluripotent stem cells by methyl cpg binding protein 2 (mecp2),null,stem,protein,protein,binding
aging-related virtually naïve memory t (tvnm) cells: a new stage in t cell response to persistent infections in humans,null,t-lymphocyte,memory,cell,null
lineage specific differentiation is influenced by state of human pluripotency [rna-seq],null,null,null,human,rna
genomic expression analysis of human monocyte-derived dcs and monocytes,dorfman-chanarin disease,monocyte,monocyte,human,null
quantification of gene expression from primate tissue samples,null,null,tissue,tissue,null
partially exhausted cd8+ t cells are associated with clinically beneficial response to teplizumab in new onset type i diabetes (single-cell rna-seq of sorted cd8+ t-cells),type 1 diabetes mellitus,null,cell,diabetes,rna
integrin-b4 identifies cancer stem cell-enriched populations of partially mesenchymal carcinoma cells,cancer,cancer stem cell,stem cell,cancer,null
an in vitro human liver model by ipsc-derived parenchymal and non-parenchymal cells,null,liver,liver,human,null
c1 analysis using mixtures of human (hek) and mouse (3t3) cells,null,null,null,human,null
molecular effects of doxycycline treatment on pterygium as revealed by massive transcriptome sequencing,pterygium,pterygium,null,pterygium,doxycycline
gse30400: rna-seq in gm12878 (encode project),null,null,null,null,rna
single cell mrna profiling reveals the hierarchical response of mirna targets to mirna induction,null,null,cell,cell,null
transcriptome changes due to nuclear penetration of cancer extracellular vesicles,cancer,null,null,cancer,null
transcriptional profiling of myotonic dystrophy muscle and heart,myotonic dystrophy,muscle,muscle organ,myotonic dystrophy,null
transcriptome and micronome analysis of opll,ossification of the posterior longitudinal ligament of the spine,null,null,null,null
quantitative assessment of single-cell rna sequencing methods,null,null,cell,cell,rna
repression of stress-induced line-1 expression protects cancer cell populations from lethal drug-exposures [rna-seq],cancer,null,malignant cell,stress,rna
molecular phenotyping of antisense oligonucleotides (asos) in immortalized proximal tubule epithelial cells (ptec-tert1),null,renal proximal tubule,proximal tubule,null,null
a quantitative analysis of clip methods for identifying binding sites of rna-binding proteins (clip),null,null,null,null,binding
co-translational response to proteotoxic stress by elongation pausing of ribosomes,null,null,null,stress,null
homo sapiens exome,null,null,homo sapiens,null,null
cgci: non-hodgkin lymphoma (nhl),non-hodgkin lymphoma,null,null,lymphoma,null
ion channel expression patterns in glioblastoma stem cells with functional and therapeutic implications for malignancy,isolated optic neuritis,stem,ion,glioblastoma,ion
single-cell sequencing of cytokine-stimulated and non-stimulated mait cells,null,null,cell,cell,null
"umi-based, single cell rna sequencing of human nasal epithelial cells grown for 52 days at air liquid interface",acute insulin response,null,cell,cell,rna
genetic and transcriptional analysis of human host response to healthy gut microbiota,inherited,gut,lower digestive tract,human,null
stage-specific human induced pluripotent stem cells map the progression of myeloid transformation to transplantable leukemia,mutyh-related attenuated familial adenomatous polyposis,stem,life cycle stage,human,null
dynamic gene regulatory networks of human myeloid differentiation [rna-seq],null,null,null,human,rna
transcriptome analysis of human monocytes 6h after stimulation with pathogens/vitamins,null,null,null,human,null
gene expression analysis of airway epithelial cells exposed to flagellin via rna-seq,null,null,respiratory tube,null,rna
huntington’s disease biomarker progression profile identified by transcriptome sequencing in peripheral blood,disease or disorder,peripheral blood,blood,null,null
rnaseq in sertoli cells infected with zika virus,zika virus infectious disease,null,null,virus,null
comparison of the human oocyte to its sister polar body,null,oocyte,oocyte,human,null
asyn polya-rnaseq in pd and unaffected cortical brain samples,null,brain,brain,null,null
innate to adaptive: human ifn-gamma producing cd4+ t cells can derive directly from cxcl8-producing recent thymic emigrants.,null,null,null,human,null
an integrated transcriptome and expressed variant analysis of sepsis survival and death,null,null,life-death temporal boundary,sepsis,null
efficient and quantitative high-throughput trna sequencing,null,null,null,null,null
prdm1 inhibits proliferation of human colon cancer organoids,colorectal cancer,colon,proliferative region,human,null
gpbar1 agonism has a broad impact on blocking macrophage activation,null,macrophage,macrophage,macrophage activation,null
transcriptional response of human astrocytes to zika virus infection,zika virus infectious disease,null,null,human,null
proteogenomic analysis of psoriasis reveals discordant and concordant changes in mrna and protein abundance,psoriasis,null,protein,psoriasis,protein
the rna-seq (mirna and mrna) analysis of three human osteosarcoma cells,pediatric osteosarcoma,null,null,human,rna
the dna methylation landscape of human melanoma [rna-seq],melanoma (disease),null,null,human,rna
rna-seq of two paired normal and cancer tissues in two stage iii colorectal cancer patients,cancer,null,life cycle stage,cancer,rna
the egf receptor ligand amphiregulin controls cell division via foxm1,null,null,cell division,receptor,binding
the translational landscape of mtor signaling steers cancer initiation and metastasis,cancer,null,signaling,cancer,null
rna sequencing of esophageal adenocarcinomas,adenocarcinoma,null,null,null,rna
microrna and gene expression changes in human cerebral aneurysms [rna-seq],null,null,null,human,rna
homo sapiens,null,null,homo sapiens,null,null
differential line-1 retrotransposition in induced pluripotent stem cells between humans and great apes,null,stem,null,null,null
a human fetal transcriptional atlas,null,null,vertebral bone 1,human,null
human b cell heavy chain raw sequence reads,null,b-lymphocyte,b cell,human,null
time course rna-seq of innate lymphoid cells in early acute hiv infection,hiv infectious disease,null,null,acute hiv infection,rna
small rna solexa sequencing of human liver samples,null,liver,liver,human,rna
genome-wide dna methylation map reveals widespread epigenetic variation in healthy individuals (rna-seq),mutyh-related attenuated familial adenomatous polyposis,null,null,null,rna
gut microbiota and colonic gene expression:  a lignan trial in humans,null,gut,lower digestive tract,null,lignan
rna-seq analysis of gene expression patterns responding to tsa treatment during hesc neural differentiation,null,null,null,null,rna
inhibition of dna methylation promotes breast tumor sensitivity to netrin-1 interference [rna-seq],breast neoplasm,breast,breast,null,rna
plasma cell mitochondrial pyruvate import controls the duration of humoral immunity.,null,plasma cell,plasma cell,cell,pyruvate
sle lupus rna-seq,systemic lupus erythematosus (disease),null,null,sle,rna
characterization of the human cumulus cell transcriptome during final follicular maturation and ovulation,null,ovarian cumulus cell,cumulus cell,human,null
activin a regulates human t follicular helper (tfh) cell differentiation,null,null,t follicular helper cell,human,null
small rna sequencing of formalin-fixed and paraffin-embedded lung adenocarcinoma tissue,lung adenocarcinoma,lung,lung,lung adenocarcinoma,rna
human intestinal tissue with adult stem cell properties derived from pluripotent stem cells,null,adult stem cell,tissue,human,null
"distinct and shared functions of als-associated tdp-43, fus, and taf15 revealed by comprehensive multi-system integrative analyses [rna-seq_stability]",amyotrophic lateral sclerosis,null,anatomical system,als,rna
obstructed defecation – an enteric neuropathy? an exploratory study of patient samples,peripheral neuropathy,null,defecation,enteric neuropathy,null
landscape of hematopoiesis described in induced pluripotent stem cells and human bone marrow,null,stem,bone marrow,human,null
comparative analysis of human and mouse transcriptomes of th17 cell priming.,null,th17 cell,t-helper 17 cell,human,null
wtap is a novel oncogenic protein in acute myeloid leukemia,acute myeloid leukemia,null,protein,protein,protein
"distinct and shared functions of als-associated tdp-43, fus, and taf15 revealed by comprehensive multi-system integrative analyses [rna-seq_human]",amyotrophic lateral sclerosis,null,anatomical system,als,rna
depletion of mitochondrial genome on gene expression patterns in human glioblastoma and multiple myeloma tumours,adult glioblastoma,null,null,human,null
homo sapiens transcriptome or gene expression from infant epithelial cells in stool,null,null,homo sapiens,infant,null
"expression profiles of cultured human epididymis cells reveal the functional diversity of caput, corpus and cauda regions.",epididymitis (disease),epididymis,epididymis,human,null
gene expression signatures of motor neuron populations isolated from sporadic als,amyotrophic lateral sclerosis,motoneuron,motor neuron,als,null
myc is a major determinant of mitotic cell fate,null,mitotic cell,cell,cell,null
bcl11b function in ewing sarcoma,ewing sarcoma,null,null,sarcoma,function
bacterial infection remodels the dna methylation landscape of human dendritic cells (mrna-seq),bacterial infectious disease,null,dendritic,bacterial infection,null
ipsc derived motor neuron cultures from c9orf72 carriers,null,motoneuron,motor neuron,null,null
gene signature in sessile serrated polyps identifies colon cancer subtype,colorectal cancer,colon,colon,polyps,null
rna-seq expression data from eb-hspc after am580 treatment compated to dmso-trated and fl-hspcs,null,null,null,null,rna
"snapshot-seq: a method for extracting genome-wide, in vivo mrna dynamics from a single total rna sample",null,null,null,null,rna
response and resistance to bet bromodomain inhibitors in triple negative breast cancer [rna-seq],breast cancer,breast,breast,triple negative breast cancer,glycine betaine
identification of resistance genes to braf inhibitor in melanoma by piggybac transposon activation mutagenesis screen,melanoma (disease),null,null,melanoma,null
widespread n6-methyladenosine-dependent rna structural switches regulate rna-protein interactions,null,null,protein,protein,rna
the pentose phosphate pathway regulates the circadian clock,null,null,phosphate,phosphate,pentose
brg1 recruitment by transcription factors mitf and sox10 defines a specific configuration of regulatory elements in the melanocyte lineage (rna-seq),null,melanocyte,melanocyte,null,atom
homo sapiens whole pancreatic islet mrna during culture in alternate media,null,pancreatic islet,homo sapiens,culture,null
depicting early human development and germ cell origin with porcine embryos,null,germ cell,germ cell,human,null
virus-like vesicles of kaposi’s sarcoma-associated herpesvirus activate lytic replication through triggering differentiation signaling (mrna),sarcoma,null,signaling,virus,null
characterization of type i interferon pathway during hepatic   differentiation of human pluripotent stem cells and hepatitis c virus   infection,hepatitis c,stem,null,human,null
slit2 modifies vegf-induced angiogenic responses in rabbit skeletal muscle by inducing capillary sprouting and decreasing vascular permeability via reduced enos activity,null,skeletal muscle,skeletal muscle organ,activity,null
the small molecule isrib reverses the effects of eif2a phosphorylation on translation and stress granule assembly,null,null,molecule,stress,molecule
global 3' race in yeast and humans,null,null,null,null,null
dms-mapseq: a genome-wide or targeted approach for rna structure probing in vivo,"nephrotic syndrome, type 4",null,structure,null,rna
adenovirus small e1a employs the lysine acetylases p300/cbp and tumor suppressor rb to repress select host genes and promote productive virus infection [rna-seq],red color blindness,null,null,virus,lysine
transcriptome signature and regulation in human somatic cell reprogramming,null,somatic cell,somatic cell,human,null
"comparative analysis of transcriptional responses in monocytes from human neonates, adults, and older adults",null,null,adult organism,monocytes,null
ews/fli function in ewing sarcoma,ewing sarcoma,null,null,sarcoma,function
aneuploidy-induced cellular stresses limit autophagic degradation.,null,null,null,null,null
hbec-shp53-pchd7,null,null,null,null,null
rna-seq of overgrown interscapular adipose tissue with biallelic mfn2 mutations,null,adipose tissue,adipose tissue,tissue,rna
coordinated control of senescence by lncrna uca1 and a novel capera/tbx3 co-repressor,null,null,null,null,null
stretch-enhancers delineate disease-associated regulatory nodes in t cells,disease or disorder,null,null,null,null
serpina3- a novel keratinocyte differentiation promotor mediates epidermal barrier repair response in psoriatic lesion,null,keratinocyte,keratinocyte differentiation,null,null
functional characterization of human t cell hyporesponsiveness induced by ctla4-ig,null,t-lymphocyte,t cell,human,null
common inflammatory pathways between nec and crohn''s disease,not rare,null,null,null,null
transcriptomic profile of cystic fibrosis patients identifies type i interferon response and ribosomal stalk proteins as potential modifiers of disease severity,cystic fibrosis,stem,null,cystic fibrosis,proteins
lsd1 inhibitor hci-2509 and gene expression in ewing sarcoma (ttc-466),capillary infantile hemangioma,null,null,sarcoma,null
ews/erg function in ewing sarcoma,ewing sarcoma,null,null,sarcoma,function
assessment of ability of htslp to maintain primary crlf2 b-all cells in a xenograft model in a state more similar to the parent leukemia,precursor b-cell acute lymphoblastic leukemia,null,null,leukemia,null
rna-seq during mcf10a-er-src cell transformation and upon factor knockdowns,null,null,cell,cell,rna
direct identification of endogenous smg6 targets and a preferred motif spanning smg6 cleavage sites by parallel analysis of rna ends in human cells,null,null,null,human,rna
rna helicase a is necessary for kif1bß tumor suppression in neuroblastoma,neoplasm (disease),null,null,neuroblastoma,rna
rna-seq analysis of the human fetal kidney.,null,kidney,kidney,human,rna
lsd1 inhibitor hci-2509 and gene expression in ewing sarcoma (a673),capillary infantile hemangioma,null,null,sarcoma,null
unbiased evaluation of cell-free amniotic fluid transcriptome of term and preterm infants to detect fetal maturity,null,amniotic fluid,cell,cell,null
"temporal comparison of transcriptomic alterations in human, mouse and rat primary b lymphocytes exposed to 2,3,7,8-tetrachlorodibenzo-p-dioxin (tcdd)",null,null,null,human,null
enhancer activation requires trans-recruitment of a mega transcription factor complex (gro-seq),null,null,null,null,glycerin
homo sapiens cultivar:caki-1 transcriptome or gene expression,null,null,homo sapiens,null,null
multi-platform assessment of transcriptional profiling technologies utilizing a precise probe mapping methodology (rna-seq_clontech),null,null,null,null,rna
next generation sequencing of small rnas isolated from exosomes in human semen,null,semen,semen,human,null
enhanced clip uncovers imp protein-rna targets in human pluripotent stem cells important for cell adhesion and survival [rna-seq],null,stem,protein,protein,protein
transcriptomes during lens differentiation of human embryonic stem cells,null,lens,lens of camera-type eye,human,null
tet1-mediated hydroxymethylation facilitates hypoxic gene induction in neuroblastoma,neuroblastoma,null,null,hypoxic,null
a unique gene regulatory network resets the human germline epigenome for development,null,null,null,human,null
rna-seq analysis of growth factor response of nheks to antimicrobial petide ll-37 and dsrna mimic poly(i:c),null,null,growth,null,rna
ifn-kappa inhibits hpv31 transcription by inducing sp100 proteins,null,null,null,null,proteins
multi-platform assessment of transcriptional profiling technologies utilizing a precise probe mapping methodology (rna-seq_ribozero),null,null,null,null,rna
regulating interleukin-2 activity with engineered receptor signaling clamps,null,null,signaling,activity,null
cis-regulatory circuits regulating nek6 kinase overexpression in transformed b cells are super-enhancer-independent (rna-seq),in situ carcinoma,null,central sulcus of insula,null,rna
dynamics of mbd2 deposition across methylated dna regions during malignant transformation of human mammary epithelial cells (2),null,null,null,malignant transformation,null
"transcriptome analysis of human sinusoidal endothelial cells, hepatocyte",endotheliitis,hepatocyte,hepatocyte,human,null
rna-seq of ckit+ sorted cells from 16-16.5 week old fetal testes and ovaries and rna-seq of tra-1-60+ h1 hescs,null,null,testis,null,rna
high resolution mapping of rna polymerases identifies mechanisms of sensitivity and resistance to bet inhibitors in t(8;21) aml,hypersensitivity reaction disease,null,null,null,rna
next generation sequencing of human brain tissues transcriptome,null,brain,brain,human,null
mrna sequencing of the global effect of sox2 on gene expression in hesc and hesc derived npcs.,null,null,null,null,null
genomics of gene regulation project,null,null,null,null,null
rna-sequencing analysis of 5'' capped rnas identifies novel differentially expressed genes in sessile serrated colon polyps (ssps),schc6pf-schulz-passarge syndrome,colon,colon,polyps,rna
the ron receptor tyrosine kinase promotes metastasis by triggering epigenetic reprogramming through the thymine glycosylase mbd4 (rna-seq),null,null,null,receptor,tyrosine
the effect of abl kinases on non-small cell carcinoma global transcriptome,abetalipoproteinemia,null,cell,small cell carcinoma,null
identification of novel molecular markers through transcriptomic analysis in human fetal and adult corneal endothelial cells,endotheliitis,adult,adult organism,human,null
homo sapiens mcf10a small rna sequencing,null,null,homo sapiens,null,rna
lysine-specific demethylase 1 has dual functions as a major regulator of androgen receptor transcriptional activity,null,null,null,receptor,lysine
click chemistry enables comprehensive preclinical evaluation of targeted epigenetic therapies [rna-seq],null,null,null,null,rna
transcriptomic dynamics during differentiation process of human pluripotent cells into hepatocyte-like cells,null,hepatocyte,process,human,process
genome-wide transcriptome analysis of human epidermal melanocytes,null,null,null,human,null
the flightless i protein is involved in the genome-wide mrna post-transcriptional regulation in lung carcinoma cells,lung carcinoma,lung,protein,protein,protein
somatic cell fusions reveal extensive heterogeneity in basal-like breast cancer [rna-seq],basal-like breast carcinoma,somatic cell,somatic cell,cell,rna
an activating nlrc4 inflammasome mutation causes autoinflammation with recurrent macrophage activation syndrome,macrophage activation syndrome,macrophage,macrophage,macrophage activation syndrome,null
"identification of rare, dormant and therapy resistant stem cells in acute lymphoblastic leukemia",rare,stem,null,acute lymphoblastic leukemia,null
schizophrenia: postmortem dorsal lateral prefrontal cortex (dlpfc),schizophrenia (disease),prefrontal cortex,prefrontal cortex,schizophrenia,null
single-cell transcriptomics reveals unique features of human pancreatic islet cell subtypes,null,pancreatic islet cell,cell,cell,null
rna sequencing of mda-mb231 and u2os cancer cell lines exposed to the alkylating agent methyl methanesufonate (mms) and classical chemotherapeutics ,cancer,null,malignant cell,cancer,rna
guided self-organization recapitulates tissue architecture in a bioengineered brain organoid model,null,brain,tissue,organization,null
rna-seq analysis of bronchosphere cultures of primary human bronchiolar epithelial cells,null,null,null,human,rna
gene expression patterns in developing intestinal organoids exposed to prolonged fgf4- and wnt-signaling,null,null,signaling,null,null
"rnaseq reveals conservation of function among the yolk sacs of human, mouse and chicken",charlevoix-saguenay spastic ataxia,egg yolk,yolk,human,function
bgiseq-500 rna-seq demo fastq data,null,null,null,null,rna
the chromatin remodeling atpases snf2h and snf2l position nucleosomes adjacent to ctcf and other transcription factors.,null,null,position,null,null
variation in chromatin accessibility in human kidney cancer links h3k36 methyltransferase loss with widespread rna processing defects,kidney cancer,kidney,kidney,human,rna
a3g and a3f clip,null,null,null,null,null
melanoma cell transcriptome,melanoma (disease),melanoma cell,cell,melanoma,null
epigenetic control of skeletal development by the histone methyltransferase ezh2,null,null,null,null,null
sperm rna: a window to idiopathic infertile couples,infertility disorder,semen,sperm,null,rna
adaptation of a ras pathway activation signature from ff to ffpe tissues in colorectal cancer (ffpe rna-seq i),colorectal cancer,null,null,colorectal cancer,rna
"rna expression in primary huamn muscle cells treated with 1,25(oh)2d3 or vehicle",null,muscle,muscle organ,null,rna
improved post thaw function and genetic changes for mesenchymal stromal cells cryopreserved using multicomponent osmolyte solutions,inherited,null,postsubiculum,null,function
transcriptome sequencing of adipose-derived mesechymal stromal cells,null,adipose tissue,adipose tissue,null,null
adaptation of a ras pathway activation signature from ff to ffpe tissues in colorectal cancer (ffpe rna-seq iii),colorectal cancer,null,null,colorectal cancer,rna
the smc5/6 complex restricts hbv when localized to nd10 without inducing an innate immune response and is counteracted by the hbv x protein shortly after infection,localized,null,immune response,protein,protein
transcription factors ovol1 and ovol2 induce the mesenchymal to epithelial transition in human cancer,cancer,null,null,human,null
fixed single-cell transcriptomic characterization of human radial glial diversity,null,null,cell,cell,null
transcriptional profiles of human blood dendritic cell (dc) subsets at steady state,null,blood,blood,human,null
next generation sequencing facilitates quantitative analysis of hiv-1 latency in central memory t cells,null,null,memory,null,null
gata3-mediated chromatin reprogramming in breast cancer cells,breast cancer,breast,breast,breast cancer,null
parallel t-cell cloning and deep sequencing of the transcripts of human mait cells reveal stable oligoclonal tcrß repertoire,null,t-lymphocyte,t cell,cell,null
"cd133+ vs. cd133- cells in gbml8, a primary glioblastoma tumorsphere culture",adult glioblastoma,null,null,glioblastoma,null
rna missplicing in fuchs endothelial corneal dystrophy,fuchs' endothelial dystrophy,null,null,endothelial corneal dystrophy,rna
genome-wide maps of human oec innate immune responses to burkholderia,null,null,null,human,null
white-to-brown metabolic conversion of human adipocytes by jak inhibition,null,null,null,human,null
illumina sequencing of vaginal epithelial cells from women using depot medroxyprogesterone acetate or non-hormonal contraception,null,null,null,hormonal contraception,medroxyprogesterone
epigenome editing by crispr/cas9 repressors for silencing of distal regulatory elements,null,null,null,null,atom
the human pancreatic islet transcriptome: impact of pro-inflammatory cytokines,null,pancreatic islet,islet of langerhans,human,null
histone deacetylase inhibition enhances antimicrobial peptide but not inflammatory cytokine expression upon bacterial challenge,null,null,peptide,null,peptide
derivation of endothelial colony forming cells from human pluripotent stem cells,endotheliitis,stem,null,human,null
transcriptome sequencing (rna-seq) of normal human osteoblasts,null,null,null,human,rna
regulation of the keap1/nrf2 oxidative stress response pathway by brd4 in prostate and colorectal cancer,colorectal cancer,prostate gland,prostate gland,oxidative stress,null
immunophenotyping and transcriptomic outcomes in pdx-derived tnbc tissue,null,null,tissue,immunophenotyping,null
reprogramming of endothelium into hematopoietic progenitors by defined factors and vascular induction,endotheliitis,endothelium,endothelium,null,null
rna-sequencing identifies dysregulation of the human pancreatic islet transcriptome by the saturated fatty acid palmitate,null,pancreatic islet,islet of langerhans,human,rna
homo sapiens and mus musculus transcriptome of multiple myeloma before and after lcl161 treatment,plasma cell myeloma,null,homo sapiens,multiple myeloma,treatment
the acetyllysine reader brd3r promotes human nuclear reprogramming and regulates mitosis,null,null,null,human,null
transcriptomic response to benzo[a]pyrene treatment in hepg2 cells (rna-seq),null,null,null,null,treatment
characterizing the chemoresistant ovarian cancer population using the heterogeneous pdx,ovarian cancer,null,null,ovarian cancer,null
orphan nuclear receptor tr4 uses non-equivalent binding sites to regulate gene targets from proximal and distal transcriptional regulatory elements during human definitive erythropoiesis [rna-seq],null,null,null,orphan,binding
identification of zeb1-regulated gene expression changes in hcc827 human lung adenocarcinoma cells,lung adenocarcinoma,lung,lung,human,null
bladder tumor sequencing,urinary bladder neoplasm,bladder,bladder organ,null,null
functional and genetic heterogeneity of distinctive leukaemic stem cell populations in cd34- human acute myeloid leukaemia,inherited,stem,stem cell,cell,null
differential gene expression for a2780 human ovarian cancer cells when exposed to a new osmium-based anticancer agent,ovarian cancer,null,null,human,null
global variability in gene expression and alternative splicing is modulated by mitochondrial content.,null,null,null,null,null
strand-specific illumina truseq mrna sequencing libraries of 1000 genomes trios,null,null,null,null,null
galectin-3 interacts with components of the nuclear ribonucleoprotein complex,null,null,null,null,null
multiple myeloma sequencing data,plasma cell myeloma,null,null,multiple myeloma,null
uv_24h_gro-seq,null,null,null,null,glycerin
histamine footprint on the human exercise transcriptome,null,null,null,human,histamine
widespread shortening of 3' untranslated regions and increased exon inclusion characterize the human macrophage response to infection [mrna],infectious disease,macrophage,macrophage,human,null
dual rna-seq – pulse-expression of pint,null,null,null,null,rna
characterization of human plasma-derived exosomal rnas,null,blood plasma,blood plasma,human,null
perturbations of pip3 signaling trigger a global remodeling of mrna landscape and reveal a transcriptional feedback loop,null,null,signaling,null,null
rna-seq data for kras wild-type(wt) and two mutant forms g12v and q61h over-expressed samples with green fluorescent protein control samples using human mammary epithelial cells,null,null,protein,protein,rna
"rna-seq of tumor-educated platelets enables blood-based pan-cancer, multiclass and molecular pathway cancer diagnostics",neoplasm (disease),blood,blood,cancer,rna
the glioma-infiltrating t cell receptor repertoire,glioma,t-lymphocyte,t cell,glioma,null
"genome-wide rna-sequencing of human islets 48 hour after transduction with adenoviruses expressing either gfp (control), or histone chaperone asf1b.",null,null,null,human,rna
"deep sequence analysis of non-small cell lung cancer: integrated analysis of gene expression, alternative splicing, and single nucleotide variations in lung adenocarcinomas with and without oncogenic kras mutations",non-small cell lung carcinoma (disease),lung,cell,non-small cell lung cancer,nucleotide
research resource: global identification of estrogen receptor ß target genes in triple negative breast cancer cells,breast cancer,breast,breast,estrogen,estrogen
discovery and characterization of pirnas in the human fetal ovary,null,ovary,ovary,human,null
tet1 regulates hypoxia-induced epithelial-mesenchymal transition through dna demethylation (rna-seq),null,null,null,hypoxia,rna
mri-localized biopsies reveal subtype-specific differences in molecular and cellular composition at the margins of glioblastoma,localized,null,composition,mri,null
multiplicity of cap structure in small rna,null,pileus,structure,null,rna
global bidirectional transcription of the epstein-barr virus genome during reactivation,null,null,null,virus,null
characterization of ezh2-deficient human embryonic stem cells [chip-seq and bulk rna-seq],null,stem,null,human,rna
rna-seq atopic dermatitis transcriptome profiling provides insights into novel disease mechanisms with potential therapeutic implications,atopic eczema,null,null,atopic dermatitis,rna
